,school_name,early_career_pay,mid_career_pay,meaning_percentage,stem_percentage,engineering,private_school,religious,art,for_sports_fans,party_school,liberal_arts_school,state_school,research_university,business,sober_school,ivy_league,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,AIAN_enrollment_percentage,Asian_enrollment_percentage,Black_enrollment_percentage,Hispanic_enrollment_percentage,NHPI_enrollment_percentage,non_resident_enrollment_percentage,total_minority_enrollment_percentage,unknown_enrollment_percentage,White_enrollment_percentage,women_enrollment_percentage,school_rank
959,Rivier University,52200,81900,57,41,False,True,True,False,False,False,False,False,False,False,False,False,NH,Private,4 Year,12526.0,31790.0,44316.0,31790.0,44316.0,,,,,,,,,,,,over_250
960,Minnesota State University Moorhead,45900,81900,53,9,False,False,False,False,False,False,False,True,False,False,False,False,MN,Public,4 Year,9280.0,8574.0,17854.0,15983.0,25263.0,,,,,,,,,,,,over_250
961,Albertus Magnus College,52100,81900,63,2,False,True,True,False,False,False,False,False,False,True,False,False,CT,Private,4 Year,13200.0,32060.0,45260.0,32060.0,45260.0,1550.0,0.003870967741935484,0.004516129032258065,0.33225806451612905,0.14,0.0012903225806451613,0.0070967741935483875,0.49483870967741933,0.08064516129032258,0.4174193548387097,0.6651612903225806,over_250
962,Purdue University Fort Wayne,49000,81900,52,17,False,False,False,False,True,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
963,Pennsylvania College of Technology,53500,81900,53,5,False,False,False,False,False,False,False,True,False,False,False,False,PA,Public,4 Year,11544.0,16740.0,28284.0,23880.0,35424.0,5623.0,0.002134092121643251,0.008536368486573003,0.032722745865196516,0.03325626889560733,0.0008892050506846879,0.013338075760270319,0.09550062244353548,0.02774319758136226,0.8634181042148319,0.3606615685577094,over_250
964,Arcadia University,45000,81900,47,12,False,True,True,False,False,False,False,False,False,False,False,False,PA,Private,4 Year,13800.0,43580.0,57380.0,43580.0,57380.0,3939.0,0.001777100787001777,0.04595074892104595,0.09164762630109165,0.0522975374460523,0.0012693577050012694,0.023356181772023355,0.22416857070322416,0.08250825082508251,0.66996699669967,0.7164254887027164,over_250
965,Northeastern Illinois University,48500,81800,48,15,False,False,False,False,False,False,False,True,False,False,False,False,IL,Public,4 Year,11424.0,14022.0,25446.0,25907.0,37331.0,10275.0,0.002238442822384428,0.08807785888077858,0.10199513381995134,0.3172749391727494,0.002530413625304136,0.05420924574209246,0.5283698296836983,0.02608272506082725,0.391338199513382,0.5689537712895377,over_250
966,Baptist Memorial College of Health Sciences,57400,81800,85,4,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
967,Lakeview College of Nursing,57700,81700,82,0,False,True,False,False,False,False,False,False,False,False,False,False,IL,Private,4 Year,,16320.0,16320.0,16320.0,16320.0,317.0,0.006309148264984227,0.01892744479495268,0.08832807570977919,0.015772870662460567,0.006309148264984227,0.0,0.14826498422712933,0.00946372239747634,0.8422712933753943,0.8548895899053628,over_250
968,Cumberland University,46700,81700,61,3,False,True,False,False,False,False,False,False,False,False,False,False,TN,Private,4 Year,9290.0,22890.0,32180.0,22890.0,32180.0,1481.0,0.00337609723160027,0.009453072248480757,0.12221471978392978,0.024983119513842,0.0,0.03443619176232275,0.1600270087778528,0.1661039837947333,0.6394328156650911,0.5739365293720459,over_250
